Word,Concrete_rating
bountiful,2.07
bourbon,4.93
bourgeoisie,2.42
boutique,4.27
bowel,4.53
bowels,4.33
bowing,3.67
bowl,4.87
bowlful,3.64
bowling,4.56
boxing,4.55
boyfriend,4.59
boyhood,2.29
boyish,2.43
boyishly,2.14
bracelet,4.96
bracket,4.43
brag,2.41
braiding,4.11
brainless,2.18
brainwash,2.21
brainwashed,2.04
brainy,1.88
branch,4.9
brash,2.46
brass,4.7
brassiere,4.64
bratwurst,4.82
bravado,1.93
brave,2.26
bravely,1.93
braver,2
bravery,1.96
braving,2.12
brawler,4.04
brazen,1.93
brazier,3.87
brazil,4.19
breach,2.48
breadbasket,4
breadboard,4.7
breadfruit,4.79
breadth,2.23
break,3.71
breakfast,4.43
breaking,3.93
breakup,2
breakwater,4.17
breast,4.89
breastbone,4.33
breastfeed,4.04
breastplate,4.67
breasts,5
breaststroke,4.27
breath,4.36
breathing,4.1
breathless,3.67
breathtaking,1.85
breeches,4.07
brevity,2.23
bribable,1.92
brick,4.83
bricklayer,4.42
brickwork,4.48
brickyard,4.79
bridegroom,4.39
bridesmaid,4.41
bridgework,4.31
briefcase,4.86
briefly,1.9
briefs,4.33
brigade,4.3
brilliancy,2.04
brilliant,2.07
brimstone,3.83
brine,4.24
brink,2.48
brisket,4.61
bristle,3.96
bristled,3.57
broadcaster,4.35
broaden,2.3
broadly,1.68
broadminded,1.74
broccoli,4.87
brochure,4.76
broil,4.03
broiler,4.83
brokerage,3.61
bronchial,3.73
brontosaurus,4.52
brooch,4.19
brooding,1.93
broody,1.5
broomstick,4.8
brothel,4.23
brotherly,1.93
brought,2.23
browbeat,2.38
brownstone,4.4
brunt,2.21
brushes,4.67
brushfire,4.48
brushwood,3.96
brutal,2
brutish,2.43
buccaneer,3.76
buck,4.67
bucketful,4.45
buckle,4.71
buckskin,4.17
bucktooth,4.79
buckwheat,4.54
buddhism,2.3
buggy,4.18
bulge,3.92
bulked,2.38
bulkhead,4.17
bulldoze,3.83
bulldozer,4.9
bulletin,4.72
bulletproof,3.89
bullfight,4.52
bullfighter,4.7
